lemma
abase
abash
abate
abattoir
abbacy
abbey
abbot
abbreviate
abbreviation
abdicate
abdomen
abdominal
abduct
abduction
abductor
aberdonian
aberration
abet
abhor
abide
ability
abjure
abkhazian
ablate
ablution
abnormality
abode
abolitionist
abominate
abomination
aboriginal
aborigine
abort
abortifacient
abortion
abound
abrade
abrasion
abrasive
abridge
abrogate
abscess
abscond
absconder
abseil
abseiler
absence
absentee
absolutist
absolve
absorber
absorption
abstain
abstainer
abstention
abstraction
absurdity
abundance
abuser
abut
abutment
abyssinian
ac
academician
academy
acadian
accede
acceleration
accelerator
accent
accentuate
acceptance
acceptor
accession
accessory
accident
accidental
acclaim
acclamation
acclimatise
acclimatize
accolade
accommodation
accompaniment
accomplice
accomplishment
accordion
accost
accountability
accountant
accoutrement
accredit
accreditation
accrete
accretion
accrual
accrue
accumulation
accumulator
accuracy
accusation
accuser
accustom
ace
acer
acetate
acetylate
ache
achievement
achiever
achondrite
acid
acidify
acknowledgement
acknowledgment
acolyte
aconite
acorn
acoustic
acquaint
acquaintance
acquiesce
acquirer
acquisition
acquit
acquittal
acre
acreage
acrobat
acrobatic
acronym
acrylic
actinide
action
activator
activist
activity
actor
actress
actualise
actuality
actualize
actuary
actuate
actuator
ad
adaptation
adapter
adaption
adaptor
adder
addict
addiction
addition
additive
addle
addressee
adduce
adduct
adenocarcinoma
adenoid
adenoma
adept
adhere
adherent
adhesion
adhesive
adit
adjective
adjoin
adjourn
adjournment
adjudge
adjudicate
adjudication
adjudicator
adjunct
adjure
adjuster
adjustment
adman
administrate
administration
administrator
admiral
admirer
admission
admonish
admonition
adolescent
adoptee
adopter
adoption
adore
adorn
adornment
adsorb
adsorbent
adulate
adulterate
adulterer
adultery
adumbrate
advancement
advantage
advect
adventist
adventure
adventurer
adverb
adverbial
adversary
adversity
advert
advertisement
advertiser
advertize
advertorial
advice
adviser
advisor
advowson
adze
aeon
aerate
aerial
aerobic
aerodrome
aerodynamic
aerogramme
aeronaut
aeroplane
aerosol
aesthete
aesthetician
aetiology
afar
affair
affectation
affection
affiance
affidavit
affiliate
affiliation
affine
affinity
affirm
affirmation
affix
afflict
affliction
affray
affront
afghan
afghani
aficionado
african
afrikaner
afro
after
afternoon
aftershock
afterthought
agate
agave
agency
agenda
agent
agglomeration
agglutinate
aggravate
aggravation
aggregation
aggression
aggressor
agitate
agitation
agitator
agnathan
agnostic
agonise
agonist
agonize
agony
agreement
agriculturalist
agriculturist
agronomist
ai
aide
ail
aileron
ailment
air
airbrake
airbrush
aircrew
airdrop
airfield
airforce
airframe
airgun
airhead
airlift
airline
airliner
airlock
airman
airplane
airport
airship
airstrip
airwave
airway
airy
aisle
albanian
albatross
albino
album
alchemist
alcohol
alcoholic
alcove
aldehyde
alder
alderman
ale
alehouse
alga
algae
algebra
algerian
algorithm
alibi
alienate
alienation
alight
align
alignment
aliquot
alkali
alkaloid
alkane
alkene
allay
allegation
allegiance
allegory
allele
allergen
allergist
allergy
alleviate
alley
alleyway
alliance
alligator
allocation
allocator
allograft
allophone
allot
allotment
allotrope
allowance
alloy
allude
allurement
allusion
ally
almanac
almond
almoravid
aloe
alpha
alphabet
alphanumeric
alpine
alsatian
altar
altarpiece
alteration
altercation
alternate
alternation
alternator
altitude
am
amalgamate
amalgamation
amass
amaze
amazon
amazona
ambassador
amber
ambiguity
ambition
ambivalence
amble
ambulance
ambush
ambusher
ameliorate
amendment
amenity
amerce
amercement
american
americanise
americanism
amerindian
amethyst
amide
amine
ammonite
ammonoid
amnesty
amoeba
amortise
amortize
amour
amp
amphetamine
amphibian
amphitheatre
amplification
amplifier
amplify
amplitude
ampoule
amputate
